Stepper Position,Characterisation Frequency
51769,6990818
58793,7013480
65817,7036496
72841,7061288
79865,7085024
86889,7109096
93913,7131764
100937,7155140
107961,7178510
114985,7202246
122009,7228802
129033,7253594
136057,7276964
143081,7302254
150105,7324778
157129,7350264
153617,7339566
146593,7314050
139569,7289018
132545,7264580
125521,7240142
118497,7213916
111473,7189856
104449,7165772
97425,7141316
90401,7119026
83377,7095632
76353,7072982
69329,7049588
62305,7025528
55281,7000509
